drug,moa_class,moa_desc,pcc_4m,pcc_3m,histology_delta,histology_helps,improved_folds_out_of_5
Cisplatin,DNA-damaging,Platinum DNA cross-linker,0.478,0.497,-0.018,False,2
Docetaxel,Microtubule,Taxane (stabilizer),0.512,0.511,0.001,True,2
Paclitaxel,Microtubule,Taxane (stabilizer),0.455,0.389,0.065,True,3
Gemcitabine,DNA-damaging,Nucleoside analogue / replication stress,0.475,0.538,-0.064,False,1
Tamoxifen,Hormone,SERM (ER antagonist),0.446,0.35,0.095,True,4
Lapatinib,Targeted,HER2/EGFR TKI,0.458,0.432,0.027,True,2
Vinblastine,Microtubule,Vinca alkaloid (destabilizer),0.525,0.45,0.075,True,5
OSI-027,Targeted,mTORC1/2 inhibitor,0.533,0.53,0.004,True,2
Daporinad,Targeted,NAMPT inhibitor,0.313,0.313,-0.001,False,3
Venetoclax,Apoptosis,BCL-2 inhibitor,0.419,0.487,-0.068,False,1
ABT737,Apoptosis,BCL-2/BCL-xL inhibitor,0.366,0.378,-0.012,False,1
AZD5991,Apoptosis,MCL-1 inhibitor,0.506,0.484,0.022,True,4
Fulvestrant,Hormone,SERD (ER degrader),0.432,0.419,0.013,True,3
